"Denver International Airport","Denver","DEN","Phoenix Sky Harbor International Airport","Phoenix","PHX","968547.2840327689"
"Denver International Airport","Denver","DEN","San Diego International Airport","San Diego","SAN","1371335.11766995"
"Denver International Airport","Denver","DEN","Seattle Tacoma International Airport","Seattle","SEA","1645073.4452724203"
"Denver International Airport","Denver","DEN","San Francisco International Airport","San Francisco","SFO","1552784.2828851065"
"Denver International Airport","Denver","DEN","Salt Lake City International Airport","Salt Lake City","SLC","627590.9790651144"
"Denver International Airport","Denver","DEN","Tampa International Airport","Tampa","TPA","2422522.274452219"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Hartsfield Jackson Atlanta International Airport","Atlanta","ATL","1174531.937723778"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","General Edward Lawrence Logan International Airport","Boston","BOS","2509268.97595388"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","1954768.615636218"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Charlotte Douglas International Airport","Charlotte","CLT","1503206.9359914076"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Ronald Reagan Washington National Airport","Washington","DCA","1914941.9643696672"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Denver International Airport","Denver","DEN","1032109.2790481979"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Detroit Metropolitan Wayne County Airport","Detroit","DTW","1586418.8234910462"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Newark Liberty International Airport","Newark","EWR","2204790.2207823247"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Fort Lauderdale Hollywood International Airport","Fort Lauderdale","FLL","1798924.0046319845"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Washington Dulles International Airport","Washington","IAD","1882477.9555653704"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","George Bush Intercontinental Houston Airport","Houston","IAH","361620.9742645424"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","John F Kennedy International Airport","New York","JFK","2234896.2125708"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","McCarran International Airport","Las Vegas","LAS","1694800.6552533763"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Los Angeles International Airport","Los Angeles","LAX","1983174.5352769014"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","La Guardia Airport","New York","LGA","2231359.693854096"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Orlando International Airport","Orlando","MCO","1582415.8154728625"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Chicago Midway International Airport","Chicago","MDW","1283194.9501128537"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Miami International Airport","Miami","MIA","1802168.785003362"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Minneapolis-St Paul International/Wold-Chamberlain Airport","Minneapolis","MSP","1372577.9374249359"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Chicago O'Hare International Airport","Chicago","ORD","1290645.2474851715"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Philadelphia International Airport","Philadelphia","PHL","2092876.7369254176"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Phoenix Sky Harbor International Airport","Phoenix","PHX","1393865.7712144172"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","San Diego International Airport","San Diego","SAN","1880431.3439721842"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Seattle Tacoma International Airport","Seattle","SEA","2668153.0153019475"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","San Francisco International Airport","San Francisco","SFO","2351941.106612637"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Salt Lake City International Airport","Salt Lake City","SLC","1589468.4878762744"
"Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","Tampa International Airport","Tampa","TPA","1492693.3953032389"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Hartsfield Jackson Atlanta International Airport","Atlanta","ATL","958197.699367489"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","General Edward Lawrence Logan International Airport","Boston","BOS","1014991.1943840657"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","656738.065761792"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Charlotte Douglas International Airport","Charlotte","CLT","805696.1463255418"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Ronald Reagan Washington National Airport","Washington","DCA","651250.218689549"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Denver International Airport","Denver","DEN","1802303.1160450943"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","1586418.8234910462"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Newark Liberty International Airport","Newark","EWR","783474.7922254755"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Fort Lauderdale Hollywood International Airport","Fort Lauderdale","FLL","1818297.4177337904"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Washington Dulles International Airport","Washington","IAD","616290.4956608544"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","George Bush Intercontinental Houston Airport","Houston","IAH","1730872.773089005"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","John F Kennedy International Airport","New York","JFK","816723.1721158082"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","McCarran International Airport","Las Vegas","LAS","2808020.0661121076"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Los Angeles International Airport","Los Angeles","LAX","3178038.1486137547"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","La Guardia Airport","New York","LGA","805135.078512599"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Orlando International Airport","Orlando","MCO","1543647.3172578267"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Chicago Midway International Airport","Chicago","MDW","366547.9887371706"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Miami International Airport","Miami","MIA","1847080.6065496984"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Minneapolis-St Paul International/Wold-Chamberlain Airport","Minneapolis","MSP","848245.0094369991"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Chicago O'Hare International Airport","Chicago","ORD","376388.67229703255"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Philadelphia International Airport","Philadelphia","PHL","728052.4900331637"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Phoenix Sky Harbor International Airport","Phoenix","PHX","2683979.694404213"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","San Diego International Airport","San Diego","SAN","3142181.7911725035"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Seattle Tacoma International Airport","Seattle","SEA","3093007.567595145"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","San Francisco International Airport","San Francisco","SFO","3337345.4509647745"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Salt Lake City International Airport","Salt Lake City","SLC","2377894.2351764534"
"Detroit Metropolitan Wayne County Airport","Detroit","DTW","Tampa International Airport","Tampa","TPA","1584806.266287288"
"Newark Liberty International Airport","Newark","EWR","Hartsfield Jackson Atlanta International Airport","Atlanta","ATL","1199316.7747648528"
"Newark Liberty International Airport","Newark","EWR","General Edward Lawrence Logan International Airport","Boston","BOS","322306.18002373347"
"Newark Liberty International Airport","Newark","EWR","Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","271785.6859207242"
"Newark Liberty International Airport","Newark","EWR","Charlotte Douglas International Airport","Charlotte","CLT","850286.7083188156"
"Newark Liberty International Airport","Newark","EWR","Ronald Reagan Washington National Airport","Washington","DCA","319340.3736607035"
"Newark Liberty International Airport","Newark","EWR","Denver International Airport","Denver","DEN","2576412.1223063893"
"Newark Liberty International Airport","Newark","EWR","Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","2204790.2207823247"
"Newark Liberty International Airport","Newark","EWR","Detroit Metropolitan Wayne County Airport","Detroit","DTW","783474.7922254755"
"Newark Liberty International Airport","Newark","EWR","Fort Lauderdale Hollywood International Airport","Fort Lauderdale","FLL","1716832.7915923097"
"Newark Liberty International Airport","Newark","EWR","Washington Dulles International Airport","Washington","IAD","341417.6360739617"
"Newark Liberty International Airport","Newark","EWR","George Bush Intercontinental Houston Airport","Houston","IAH","2250545.087817047"
"Newark Liberty International Airport","Newark","EWR","John F Kennedy International Airport","New York","JFK","33395.31195105064"
"Newark Liberty International Airport","Newark","EWR","McCarran International Airport","Las Vegas","LAS","3576000.4480604464"
"Newark Liberty International Airport","Newark","EWR","Los Angeles International Airport","Los Angeles","LAX","3941010.2954659443"
"Newark Liberty International Airport","Newark","EWR","La Guardia Airport","New York","LGA","26667.148684191015"
"Newark Liberty International Airport","Newark","EWR","Orlando International Airport","Orlando","MCO","1510881.8254560826"
"Newark Liberty International Airport","Newark","EWR","Chicago Midway International Airport","Chicago","MDW","1141075.5145437398"
"Newark Liberty International Airport","Newark","EWR","Miami International Airport","Miami","MIA","1750596.2859260938"
"Newark Liberty International Airport","Newark","EWR","Minneapolis-St Paul International/Wold-Chamberlain Airport","Minneapolis","MSP","1618725.632957781"
